source_family,n_splits
gmy_002753,2
gmy_002748,2
gmy_002679,2
gmy_002675,2
gmy_002674,2
gmy_002622,2
gmy_002640,2
gmy_002633,2
gmy_002632,2
gmy_002631,2
gmy_002629,2
gmy_002627,2
gmy_002625,2
gmy_002623,2
gmy_002621,2
gmy_002673,2
gmy_002617,2
gmy_002616,2
gmy_002613,2
gmy_002604,2
gmy_002603,2
gmy_002599,2
gmy_002598,2
gmy_002597,2
gmy_002641,2
gmy_002643,2
gmy_002645,2
gmy_002646,2
gmy_002671,2
gmy_002670,2
gmy_002669,2
gmy_002668,2
gmy_002667,2
gmy_002663,2
gmy_002662,2
gmy_002660,2
gmy_002657,2
gmy_002656,2
gmy_002655,2
gmy_002654,2
gmy_002653,2
gmy_002652,2
gmy_002651,2
gmy_002650,2
gmy_002649,2
gmy_002788,2
gmy_002791,2
gmy_002797,2
gmy_002922,2
gmy_002942,2
gmy_002940,2
gmy_002939,2
gmy_002930,2
gmy_002929,2
gmy_002927,2
gmy_002925,2
gmy_002923,2
gmy_002919,2
gmy_002900,2
gmy_002917,2
gmy_002915,2
gmy_002913,2
gmy_002911,2
gmy_002910,2
gmy_002909,2
gmy_002908,2
gmy_002907,2
gmy_002949,2
gmy_002951,2
gmy_002953,2
gmy_002956,2
gmy_002998,2
gmy_002997,2
gmy_002995,2
gmy_002992,2
gmy_002990,2
gmy_002989,2
gmy_002988,2
gmy_002987,2
gmy_002985,2
gmy_002984,2
gmy_002979,2
gmy_002977,2
gmy_002974,2
gmy_002973,2
gmy_002966,2
gmy_002965,2
gmy_002957,2
gmy_002902,2
gmy_002899,2
gmy_002798,2
gmy_002826,2
gmy_002838,2
gmy_002837,2
gmy_002836,2
gmy_002835,2
gmy_002834,2
gmy_002833,2
gmy_002831,2
gmy_002829,2
gmy_002824,2
gmy_002896,2
gmy_002823,2
gmy_002822,2
gmy_002814,2
gmy_002811,2
gmy_002809,2
gmy_002806,2
gmy_002803,2
gmy_002802,2
gmy_002841,2
gmy_002844,2
gmy_002849,2
gmy_002850,2
gmy_002894,2
gmy_002893,2
gmy_002892,2
gmy_002887,2
gmy_002886,2
gmy_002880,2
gmy_002878,2
gmy_002875,2
gmy_002873,2
gmy_002872,2
gmy_002871,2
gmy_002866,2
gmy_002860,2
gmy_002859,2
gmy_002858,2
gmy_002857,2
gmy_002854,2
gmy_002595,2
gmy_002589,2
gmy_002189,2
gmy_002312,2
gmy_002337,2
gmy_002333,2
gmy_002331,2
gmy_002329,2
gmy_002328,2
gmy_002324,2
gmy_002319,2
gmy_002313,2
gmy_002308,2
gmy_002344,2
gmy_002305,2
gmy_002304,2
gmy_002302,2
gmy_002295,2
gmy_002294,2
gmy_002293,2
gmy_002290,2
gmy_002289,2
gmy_002340,2
gmy_002347,2
gmy_002586,2
gmy_002375,2
gmy_002395,2
gmy_002394,2
gmy_002392,2
gmy_002387,2
gmy_002384,2
gmy_002382,2
gmy_002379,2
gmy_002377,2
gmy_002372,2
gmy_002349,2
gmy_002368,2
gmy_002366,2
gmy_002362,2
gmy_002355,2
gmy_002354,2
gmy_002353,2
gmy_002351,2
gmy_002350,2
gmy_002285,2
gmy_002284,2
gmy_002280,2
gmy_002210,2
gmy_002226,2
gmy_002224,2
gmy_002223,2
gmy_002222,2
gmy_002219,2
gmy_002216,2
gmy_002212,2
gmy_002211,2
gmy_002208,2
gmy_002277,2
gmy_002207,2
gmy_002206,2
gmy_002203,2
gmy_002200,2
gmy_002199,2
gmy_002198,2
gmy_002196,2
gmy_002195,2
gmy_002228,2
gmy_002229,2
gmy_002231,2
gmy_002233,2
gmy_002275,2
gmy_002274,2
gmy_002272,2
gmy_002271,2
gmy_002269,2
gmy_002264,2
gmy_002261,2
gmy_002259,2
gmy_001524,2
gmy_002253,2
gmy_002250,2
gmy_002247,2
gmy_002241,2
gmy_002240,2
gmy_002239,2
gmy_002235,2
gmy_002234,2
gmy_002396,2
gmy_002397,2
gmy_002399,2
gmy_002529,2
gmy_002538,2
gmy_002537,2
gmy_002536,2
gmy_002535,2
gmy_002534,2
gmy_002533,2
gmy_002532,2
gmy_002530,2
gmy_002528,2
gmy_002503,2
gmy_002527,2
gmy_002522,2
gmy_002515,2
gmy_002513,2
gmy_002510,2
gmy_002509,2
gmy_002508,2
gmy_002505,2
gmy_002539,2
gmy_002540,2
gmy_002542,2
gmy_002543,2
gmy_002585,2
gmy_002584,2
gmy_002583,2
gmy_002582,2
gmy_002581,2
gmy_002571,2
gmy_002566,2
gmy_002565,2
gmy_002564,2
gmy_002562,2
gmy_002555,2
gmy_002554,2
gmy_002552,2
gmy_002551,2
gmy_002550,2
gmy_002549,2
gmy_002546,2
gmy_002504,2
gmy_002501,2
gmy_002404,2
gmy_002428,2
gmy_002446,2
gmy_002445,2
gmy_002443,2
gmy_002440,2
gmy_002436,2
gmy_002435,2
gmy_002432,2
gmy_002429,2
gmy_002426,2
gmy_002497,2
gmy_002422,2
gmy_002421,2
gmy_002419,2
gmy_002418,2
gmy_002417,2
gmy_002413,2
gmy_002408,2
gmy_002407,2
gmy_002448,2
gmy_002450,2
gmy_002451,2
gmy_002452,2
gmy_002496,2
gmy_002495,2
gmy_002493,2
gmy_002492,2
gmy_002488,2
gmy_002487,2
gmy_002481,2
gmy_002477,2
gmy_002475,2
gmy_002471,2
gmy_002468,2
gmy_002466,2
gmy_002465,2
gmy_002463,2
gmy_002460,2
gmy_002458,2
gmy_002454,2
gmy_001525,2
gmy_001446,2
gmy_001523,2
gmy_000488,2
gmy_000509,2
gmy_000508,2
gmy_000507,2
gmy_000503,2
gmy_000497,2
gmy_000495,2
gmy_000492,2
gmy_000489,2
gmy_000487,2
gmy_000511,2
gmy_000486,2
gmy_000485,2
gmy_000483,2
gmy_000481,2
gmy_000480,2
gmy_000479,2
gmy_000478,2
gmy_000477,2
gmy_000510,2
gmy_000513,2
gmy_000471,2
gmy_000549,2
gmy_000570,2
gmy_000569,2
gmy_000563,2
gmy_000561,2
gmy_000560,2
gmy_000559,2
gmy_000557,2
gmy_000550,2
gmy_000546,2
gmy_000516,2
gmy_000543,2
gmy_000538,2
gmy_000537,2
gmy_000534,2
gmy_000531,2
gmy_000528,2
gmy_000519,2
gmy_000517,2
gmy_000476,2
gmy_000470,2
gmy_000783,2
gmy_000409,2
gmy_000423,2
gmy_000421,2
gmy_000418,2
gmy_000414,2
gmy_000413,2
gmy_000412,2
gmy_000411,2
gmy_000410,2
gmy_000408,2
gmy_000427,2
gmy_000407,2
gmy_000406,2
gmy_000405,2
gmy_000404,2
gmy_000401,2
gmy_000399,2
gmy_000398,2
gmy_000396,2
gmy_000425,2
gmy_000429,2
gmy_000469,2
gmy_000452,2
gmy_000468,2
gmy_000467,2
gmy_000466,2
gmy_000464,2
gmy_000463,2
gmy_000459,2
gmy_000454,2
gmy_000453,2
gmy_000448,2
gmy_000432,2
gmy_000447,2
gmy_000445,2
gmy_000443,2
gmy_000440,2
gmy_000437,2
gmy_000436,2
gmy_000435,2
gmy_000434,2
gmy_000572,2
gmy_000573,2
gmy_000575,2
gmy_000710,2
gmy_000731,2
gmy_000728,2
gmy_000727,2
gmy_000724,2
gmy_000723,2
gmy_000721,2
gmy_000714,2
gmy_000713,2
gmy_000707,2
gmy_000736,2
gmy_000701,2
gmy_000696,2
gmy_000695,2
gmy_000692,2
gmy_000690,2
gmy_000688,2
gmy_000685,2
gmy_000683,2
gmy_000734,2
gmy_000740,2
gmy_000576,2
gmy_000767,2
gmy_000780,2
gmy_000777,2
gmy_000775,2
gmy_000774,2
gmy_000773,2
gmy_000772,2
gmy_000771,2
gmy_000768,2
gmy_000766,2
gmy_000741,2
gmy_000765,2
gmy_000763,2
gmy_000757,2
gmy_000755,2
gmy_000753,2
gmy_000751,2
gmy_000749,2
gmy_000746,2
gmy_000682,2
gmy_000678,2
gmy_000677,2
gmy_000610,2
gmy_000626,2
gmy_000625,2
gmy_000623,2
gmy_000621,2
gmy_000614,2
gmy_000613,2
gmy_000612,2
gmy_000611,2
gmy_000607,2
gmy_000676,2
gmy_000604,2
gmy_000602,2
gmy_000599,2
gmy_000597,2
gmy_000596,2
gmy_000586,2
gmy_000580,2
gmy_000579,2
gmy_000631,2
gmy_000632,2
gmy_000633,2
gmy_000634,2
gmy_000675,2
gmy_000674,2
gmy_000673,2
gmy_000671,2
gmy_000668,2
gmy_000666,2
gmy_000662,2
gmy_000661,2
gmy_000660,2
gmy_000658,2
gmy_000655,2
gmy_000654,2
gmy_000652,2
gmy_000650,2
gmy_000646,2
gmy_000637,2
gmy_000636,2
gmy_000395,2
gmy_000392,2
gmy_000391,2
gmy_000135,2
gmy_000158,2
gmy_000156,2
gmy_000151,2
gmy_000149,2
gmy_000147,2
gmy_000145,2
gmy_000142,2
gmy_000140,2
gmy_000134,2
gmy_000162,2
gmy_000132,2
gmy_000129,2
gmy_000128,2
gmy_000127,2
gmy_000126,2
gmy_000124,2
gmy_000123,2
gmy_000122,2
gmy_000160,2
gmy_000164,2
gmy_000212,2
gmy_000184,2
gmy_000210,2
gmy_000207,2
gmy_000201,2
gmy_000199,2
gmy_000198,2
gmy_000195,2
gmy_000189,2
gmy_000185,2
gmy_000183,2
gmy_000165,2
gmy_000180,2
gmy_000179,2
gmy_000178,2
gmy_000176,2
gmy_000175,2
gmy_000173,2
gmy_000171,2
gmy_000167,2
gmy_000121,2
gmy_000115,2
gmy_000114,2
gmy_000022,2
gmy_000040,2
gmy_000038,2
gmy_000036,2
gmy_000034,2
gmy_000033,2
gmy_000031,2
gmy_000028,2
gmy_000027,2
gmy_000019,2
gmy_000111,2
gmy_000017,2
gmy_000016,2
gmy_000015,2
gmy_000014,2
gmy_000011,2
gmy_000009,2
gmy_000008,2
gmy_000007,2
gmy_000046,2
gmy_000047,2
gmy_000049,2
gmy_000050,2
gmy_000110,2
gmy_000104,2
gmy_000103,2
gmy_000102,2
gmy_000098,2
gmy_000093,2
gmy_000091,2
gmy_000080,2
gmy_000078,2
gmy_000077,2
gmy_000075,2
gmy_000071,2
gmy_000069,2
gmy_000064,2
gmy_000059,2
gmy_000058,2
gmy_000055,2
gmy_000211,2
gmy_000214,2
gmy_000390,2
gmy_000331,2
gmy_000346,2
gmy_000343,2
gmy_000342,2
gmy_000338,2
gmy_000337,2
gmy_000335,2
gmy_000333,2
gmy_000332,2
gmy_000329,2
gmy_000352,2
gmy_000328,2
gmy_000326,2
gmy_000325,2
gmy_000324,2
gmy_000320,2
gmy_000319,2
gmy_000318,2
gmy_000313,2
gmy_000350,2
gmy_000354,2
gmy_000216,2
gmy_000373,2
gmy_000387,2
gmy_000385,2
gmy_000383,2
gmy_000382,2
gmy_000381,2
gmy_000378,2
gmy_000376,2
gmy_000375,2
gmy_000371,2
gmy_000355,2
gmy_000370,2
gmy_000369,2
gmy_000365,2
gmy_000364,2
gmy_000363,2
gmy_000358,2
gmy_000357,2
gmy_000356,2
gmy_000306,2
gmy_000303,2
gmy_000302,2
gmy_000236,2
gmy_000250,2
gmy_000249,2
gmy_000248,2
gmy_000247,2
gmy_000244,2
gmy_000243,2
gmy_000241,2
gmy_000238,2
gmy_000235,2
gmy_000299,2
gmy_000234,2
gmy_000230,2
gmy_000228,2
gmy_000227,2
gmy_000226,2
gmy_000224,2
gmy_000219,2
gmy_000218,2
gmy_000259,2
gmy_000260,2
gmy_000262,2
gmy_000269,2
gmy_000298,2
gmy_000297,2
gmy_000294,2
gmy_000291,2
gmy_000290,2
gmy_000289,2
gmy_000288,2
gmy_000287,2
gmy_000284,2
gmy_000282,2
gmy_000280,2
gmy_000278,2
gmy_000277,2
gmy_000275,2
gmy_000274,2
gmy_000273,2
gmy_000271,2
gmy_000782,2
gmy_000784,2
gmy_001522,2
gmy_001275,2
gmy_001292,2
gmy_001291,2
gmy_001290,2
gmy_001288,2
gmy_001285,2
gmy_001282,2
gmy_001280,2
gmy_001276,2
gmy_001274,2
gmy_001294,2
gmy_001273,2
gmy_001271,2
gmy_001270,2
gmy_001269,2
gmy_001266,2
gmy_001265,2
gmy_001264,2
gmy_001263,2
gmy_001293,2
gmy_001295,2
gmy_001261,2
gmy_001315,2
gmy_001333,2
gmy_001329,2
gmy_001328,2
gmy_001327,2
gmy_001324,2
gmy_001322,2
gmy_001317,2
gmy_001316,2
gmy_001312,2
gmy_001297,2
gmy_001310,2
gmy_001309,2
gmy_001308,2
gmy_001307,2
gmy_001306,2
gmy_001303,2
gmy_001299,2
gmy_001298,2
gmy_001262,2
gmy_001260,2
gmy_000785,2
gmy_001194,2
gmy_001213,2
gmy_001210,2
gmy_001208,2
gmy_001201,2
gmy_001199,2
gmy_001198,2
gmy_001196,2
gmy_001195,2
gmy_001182,2
gmy_001216,2
gmy_001179,2
gmy_001178,2
gmy_001177,2
gmy_001175,2
gmy_001174,2
gmy_001173,2
gmy_001169,2
gmy_001165,2
gmy_001215,2
gmy_001221,2
gmy_001255,2
gmy_001239,2
gmy_001254,2
gmy_001253,2
gmy_001252,2
gmy_001251,2
gmy_001250,2
gmy_001244,2
gmy_001242,2
gmy_001240,2
gmy_001235,2
gmy_001222,2
gmy_001234,2
gmy_001233,2
gmy_001232,2
gmy_001230,2
gmy_001228,2
gmy_001226,2
gmy_001224,2
gmy_001223,2
gmy_001334,2
gmy_001335,2
gmy_001341,2
gmy_001459,2
gmy_001479,2
gmy_001477,2
gmy_001476,2
gmy_001473,2
gmy_001470,2
gmy_001468,2
gmy_001461,2
gmy_001460,2
gmy_001452,2
gmy_001483,2
gmy_001451,2
gmy_001449,2
gmy_000005,2
gmy_001445,2
gmy_001443,2
gmy_001441,2
gmy_001437,2
gmy_001433,2
gmy_001480,2
gmy_001484,2
gmy_001347,2
gmy_001500,2
gmy_001519,2
gmy_001518,2
gmy_001517,2
gmy_001514,2
gmy_001513,2
gmy_001511,2
gmy_001508,2
gmy_001501,2
gmy_001499,2
gmy_001485,2
gmy_001498,2
gmy_001497,2
gmy_001495,2
gmy_001493,2
gmy_001492,2
gmy_001491,2
gmy_001490,2
gmy_001486,2
gmy_001432,2
gmy_001431,2
gmy_001430,2
gmy_001375,2
gmy_001393,2
gmy_001390,2
gmy_001386,2
gmy_001385,2
gmy_001384,2
gmy_001382,2
gmy_001380,2
gmy_001376,2
gmy_001374,2
gmy_001429,2
gmy_001372,2
gmy_001371,2
gmy_001367,2
gmy_001366,2
gmy_001364,2
gmy_001357,2
gmy_001356,2
gmy_001349,2
gmy_001394,2
gmy_001396,2
gmy_001399,2
gmy_001401,2
gmy_001428,2
gmy_001426,2
gmy_001425,2
gmy_001424,2
gmy_001423,2
gmy_001420,2
gmy_001417,2
gmy_001416,2
gmy_001415,2
gmy_001413,2
gmy_001412,2
gmy_001411,2
gmy_001410,2
gmy_001409,2
gmy_001408,2
gmy_001406,2
gmy_001402,2
gmy_001162,2
gmy_001161,2
gmy_001160,2
gmy_000902,2
gmy_000919,2
gmy_000915,2
gmy_000914,2
gmy_000912,2
gmy_000909,2
gmy_000908,2
gmy_000906,2
gmy_000904,2
gmy_000900,2
gmy_000924,2
gmy_000897,2
gmy_000892,2
gmy_000891,2
gmy_000890,2
gmy_000889,2
gmy_000887,2
gmy_000886,2
gmy_000884,2
gmy_000921,2
gmy_000925,2
gmy_000974,2
gmy_000951,2
gmy_000968,2
gmy_000966,2
gmy_000964,2
gmy_000962,2
gmy_000959,2
gmy_000958,2
gmy_000954,2
gmy_000952,2
gmy_000949,2
gmy_000928,2
gmy_000946,2
gmy_000944,2
gmy_000943,2
gmy_000939,2
gmy_000938,2
gmy_000935,2
gmy_000931,2
gmy_000929,2
gmy_000883,2
gmy_000882,2
gmy_000880,2
gmy_000805,2
gmy_000825,2
gmy_000824,2
gmy_000823,2
gmy_000819,2
gmy_000816,2
gmy_000815,2
gmy_000812,2
gmy_000811,2
gmy_000796,2
gmy_000879,2
gmy_000794,2
gmy_000793,2
gmy_000792,2
gmy_000791,2
gmy_000790,2
gmy_000789,2
gmy_000788,2
gmy_000786,2
gmy_000826,2
gmy_000838,2
gmy_000845,2
gmy_000846,2
gmy_000876,2
gmy_000875,2
gmy_000873,2
gmy_000872,2
gmy_000871,2
gmy_000869,2
gmy_000864,2
gmy_000859,2
gmy_000858,2
gmy_000857,2
gmy_000855,2
gmy_000854,2
gmy_000853,2
gmy_000851,2
gmy_000850,2
gmy_000849,2
gmy_000847,2
gmy_000971,2
gmy_000976,2
gmy_001158,2
gmy_001089,2
gmy_001112,2
gmy_001105,2
gmy_001104,2
gmy_001103,2
gmy_001101,2
gmy_001099,2
gmy_001094,2
gmy_001093,2
gmy_001088,2
gmy_001118,2
gmy_001083,2
gmy_001082,2
gmy_001081,2
gmy_001078,2
gmy_001077,2
gmy_001076,2
gmy_001075,2
gmy_001071,2
gmy_001113,2
gmy_001120,2
gmy_000979,2
gmy_001148,2
gmy_001157,2
gmy_001156,2
gmy_001155,2
gmy_001154,2
gmy_001152,2
gmy_001151,2
gmy_001150,2
gmy_001149,2
gmy_001144,2
gmy_001122,2
gmy_001143,2
gmy_001138,2
gmy_001135,2
gmy_001134,2
gmy_001132,2
gmy_001129,2
gmy_001128,2
gmy_001125,2
gmy_001067,2
gmy_001063,2
gmy_001061,2
gmy_000997,2
gmy_001019,2
gmy_001017,2
gmy_001015,2
gmy_001008,2
gmy_001007,2
gmy_001006,2
gmy_001002,2
gmy_000998,2
gmy_000994,2
gmy_001060,2
gmy_000993,2
gmy_000992,2
gmy_000990,2
gmy_000986,2
gmy_000985,2
gmy_000984,2
gmy_000983,2
gmy_000980,2
gmy_001021,2
gmy_001023,2
gmy_001024,2
gmy_001025,2
gmy_001057,2
gmy_001056,2
gmy_001055,2
gmy_001054,2
gmy_001053,2
gmy_001051,2
gmy_001050,2
gmy_001049,2
gmy_001048,2
gmy_001045,2
gmy_001043,2
gmy_001042,2
gmy_001037,2
gmy_001035,2
gmy_001031,2
gmy_001030,2
gmy_001026,2
gmy_002999,2
